procurement_event_id,source,tender_reference,title,buyer,country,publication_date,closing_date,matched_iati_identifier,product_family,product_identification_status,product_identification_method,product_identification_confidence,product_evidence_source,product_evidence_reference,product_evidence_excerpt,faram_product_id,product_name,manufacturer_name,principal_status,territory_fit,keyword_evidence,exclusion_evidence,match_confidence,match_status,recommended_action
proc_64b21bf8ca596c78,World Bank,KE-MOH-320083-GO-RFQ,"Procurement of 3 Micro Centrifuge, 3 Laboratory Water Bath and 3 Bio-safety Class II Cabinet for National Laboratory Services",,Kenya,2024-02-05,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,86.0,NOTICE_TITLE,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00270550,"Procurement of 3 Micro Centrifuge, 3 Laboratory Water Bath and 3 Bio-safety Class II Cabinet for National Laboratory Services",FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,YES,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_55900ad009511c1b,World Bank,KE-MOH-07-2023/2024-GO-RFQ,Procurement of Accessories for PCR Machine in Kakamega Referral Hospital,,Kenya,2024-01-31,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,83.0,NOTICE_TEXT,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00270965,".../2024-GO-RFQ Procurement Method: RFQ-Request for Quotations Scope of Contract: PROUREMENT OF PCR ACCESSORIES(micro centrifuge, laboratory water bath and bio safety class ii cabinet) in KAKAMEGA COUNTY REFERRAL HOSPITAL Notice Version No: 1 ...",FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,YES,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_c7d6083b8efbc58d,World Bank,KE-MAKUENI COUNTY-137251-GO-RFQ,Procure 2 No. Refrigerated blood bag centrifuge for the new Blood transfusion unit,,Kenya,2023-06-28,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,86.0,NOTICE_TITLE,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00234160,Procure 2 No. Refrigerated blood bag centrifuge for the new Blood transfusion unit,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,YES,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_80e8c4d3fd77e2b1,World Bank,KE-KAJIADO COUNTY-270035-GO-RFQ,"Procure Laboratory Equipment,1 No.Haomoglobin machine,1 No.Electric orbital serology shaker,1No.Waterbath and 1No. Electrical centrifuge for Shompole Health Centre to Improve ANC services in the VMGP link facility",,Kenya,2023-04-29,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,86.0,NOTICE_TITLE,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00216046,"...oratory Equipment,1 No.Haomoglobin machine,1 No.Electric orbital serology shaker,1No.Waterbath and 1No. Electrical centrifuge for Shompole Health Centre to Improve ANC services in the VMGP link facility",FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,YES,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_bc67743c543f19a5,World Bank,KE-KALRO-294885-GO-RFQ,"Supply of Laboratory & Other Equipment (UV- VIS Spectrometer, Trinocular Compound Microscope and Brush Mower)",,Kenya,2023-04-28,,,UV-VIS Spectrophotometer,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,85.0,NOTICE_TEXT,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00225257,"Contract Award Project: P154784-Kenya Climate Smart Agriculture Project Loan/Credit/TF Info: IDA-59450 Bid/Contract Reference No: KE-KALRO-294885-GO-RFQ Procurement Method: RFQ-Request for Quotations Scope of Contract: Supply, Installation,...",FARAM-WTW-PHOTOLAB7600-001,WTW photoLab 7600 UV-VIS Spectrophotometer,WTW,pending,YES,UV-VIS; spectrophotometer,,90.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_d03daf9b177b5a0f,World Bank,KE-MOH-288018-GO-RFQ,Procurement of seven (7No) refrigerated centrifuge,,Kenya,2023-04-09,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,86.0,NOTICE_TITLE,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00222726,Procurement of seven (7No) refrigerated centrifuge,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,YES,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_ff1381aac0727264,World Bank,KE-KILIFI COUNTY-226090-GO-RFQ,"Procurement of laboratory equipment for level 2 health facilities, 10 No. Microscopes, 10 No. Centrifuge, 10 No HB meters, 10 No. Refrigerators,10 No Water distiller, 10 No. Hot Air Oven, 10 No. Laboratory Shakers,10 No. Laboratory countdown Timers",,Kenya,2023-02-07,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,86.0,NOTICE_TITLE,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00211427,"Procurement of laboratory equipment for level 2 health facilities, 10 No. Microscopes, 10 No. Centrifuge, 10 No HB meters, 10 No. Refrigerators,10 No Water distiller, 10 No. Hot Air Oven, 10 No. Laboratory Shakers,10 No...",FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,YES,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_009346eceb256790,World Bank,KE-KALRO-228256-GO-RFB,"Supply, Delivery, Installation, Testing and Commissioning of Laboratory Equipment",,Kenya,2022-05-12,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,83.0,NOTICE_TEXT,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00179346,...llows; 1. Water Distiller 2. Heating Block 3. pH Meters4. Portable Multi- Grain Moisture Testers5. General Purpose Centrifuge Notice Version No: 0 Contract Signature Date (YYYY/MM/DD) 2022/02/21 Duration of Contract 8 Week(s) Awarded Bidder...,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,YES,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_b6da88f762cf91bd,World Bank,KE-KEMSA-188539-GO-RFQ,Procurement of Laboratory Equipment Real time PCR - Qty: 6 No. Freezer (-80°C) - Qty: 4 No. Refrigerated centrifuge - Qty: 3 No.,,Kenya,2022-05-11,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,86.0,NOTICE_TITLE,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00179158,Procurement of Laboratory Equipment Real time PCR - Qty: 6 No. Freezer (-80°C) - Qty: 4 No. Refrigerated centrifuge - Qty: 3 No.,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,YES,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_070ef21488c60095,World Bank,KE-NYAMIRA COUNTY-198206-GO-RFQ,"Procure No. 8 Electrical Centrifuge, No. 388 kits of Haemo cuvettes, No. 100 Anti A, No. 100 Anti B, No. 100 Anti D, No. 20 Bovine and No.20 AHG for Nyamira County Referral Hospital",,Kenya,2022-03-30,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,86.0,NOTICE_TITLE,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00172712,"Procure No. 8 Electrical Centrifuge, No. 388 kits of Haemo cuvettes, No. 100 Anti A, No. 100 Anti B, No. 100 Anti D, No. 20 Bovine and No.20 AHG for N...",FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,YES,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_654c19208069309b,World Bank,KE-MAKUENI COUNTY-192822-GO-RFQ,Procure 1no. refrigerated centrifuge for Makueni blood satellite,,Kenya,2022-01-27,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,86.0,NOTICE_TITLE,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00163764,Procure 1no. refrigerated centrifuge for Makueni blood satellite,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,YES,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_c4739cff22f45864,World Bank,KE-KEMSA-193285-GO-RFQ,Procurement of Laboratory Equipment: 11 No. Waterbaths 11 No. Biological Safety Cabinet 11 No. Refrigerated Centrifuges,,Kenya,2021-04-21,,,Biological Safety Cabinet,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,88.0,NOTICE_TITLE,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00126140,Procurement of Laboratory Equipment: 11 No. Waterbaths 11 No. Biological Safety Cabinet 11 No. Refrigerated Centrifuges,FARAM-THERMO-MSC-001,Thermo Scientific MSC-Advantage Class II biological safety cabinet,Thermo Scientific,pending,YES,biological safety cabinet,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_c4739cff22f45864,World Bank,KE-KEMSA-193285-GO-RFQ,Procurement of Laboratory Equipment: 11 No. Waterbaths 11 No. Biological Safety Cabinet 11 No. Refrigerated Centrifuges,,Kenya,2021-04-21,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,86.0,NOTICE_TITLE,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00126140,Procurement of Laboratory Equipment: 11 No. Waterbaths 11 No. Biological Safety Cabinet 11 No. Refrigerated Centrifuges,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,YES,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_a9aa28708f677c33,World Bank,KE-KEMSA-42363-GO-DIR,"Supply, Installation and Commissioning of Centrifuge",,Kenya,2018-06-19,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,86.0,NOTICE_TITLE,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00054466,"Supply, Installation and Commissioning of Centrifuge",FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,YES,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_4ce8e65148e4c141,World Bank,KE-KEMSA-8722-GO-RFB,Supply of Medical Equipment,,Kenya,2018-06-13,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,83.0,NOTICE_TEXT,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00054274,...SA/ KHSSP OIT 1/2016-2017 Procurement Method: RFB-Request for Bids Scope of Contract: SUPPLY OF MEDICAL EQUIPMENT (Centrifuge) Notice Version No: 1 Contract Signature Date (YYYY/MM/DD) 2018/01/12 Duration of Contract 12 Week(s) Awarded Bidd...,FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,YES,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_c512cd5181795c71,World Bank,ET-SWE-RPCU-557486-GO-RFQ,Procurement of Veterinary Clinic equipment's (Laboratory & Clinical Instruments) & Office Furniture’s & equipment’s to functionalize Anjo Veterinary clinic in Suri woreda & Ore Veterinary Clinic in Maji woreda,,Ethiopia,2026-08-29,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,83.0,NOTICE_TEXT,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00465711,"...suring cylinders 100 ml, eight Measuring cylinders 500ml, eight Petri dishes, four Test Tube Racks, two Electrical Centrifuge, two manual Centrifug Notice Version No: 0 Date Notification of Award Issued (YYYY/MM/DD) 2026/07/06 Duration of C...",FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,NO,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_16366359a1de503b,World Bank,ET-MOLF-445876-GO-RFQ,"Laboratory machinery, tools and equipment’s",,Ethiopia,2025-11-22,,,Colony Counter,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,83.0,NOTICE_TEXT,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00410899,...t Method: RFQ-Request for Quotations Scope of Contract: Procurement of Laboratory Equipment (Water Distiller and Colony Counter) Notice Version No: 0 Date Notification of Award Issued (YYYY/MM/DD) 2024/12/17 Duration of Contract 15 Day(s) A...,FARAM-INT-SCAN300-001,Scan 300 automatic colony counter,Interscience,pending,NO,colony counter,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_d50ddbf9723f8808,World Bank,ET-MOLF-445876-GO-RFQ,"Laboratory machinery, tools and equipment’s",,Ethiopia,2025-11-22,,,Vortex Mixer,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,83.0,NOTICE_TEXT,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00410897,"...r, Alcohol Gun, Balance weight, PH meter, Oven, Ice Box, Refrigerator, Cabinet, Autoclave, Microscope, Incubator, Vortex Mixer, Membrane Filter) Notice Version No: 0 Date Notification of Award Issued (YYYY/MM/DD) 2024/12/17 Duration of Cont...",FARAM-THERMO-VORTEX-001,Thermo Scientific Vortex Mixer,Thermo Scientific,pending,NO,vortex mixer,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_d50ddbf9723f8808,World Bank,ET-MOLF-445876-GO-RFQ,"Laboratory machinery, tools and equipment’s",,Ethiopia,2025-11-22,,,pH Meter,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,83.0,NOTICE_TEXT,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00410897,"... for Quotations Scope of Contract: Procurement of Laboratory Equipment (Milk analyzer, Alcohol Gun, Balance weight, PH meter, Oven, Ice Box, Refrigerator, Cabinet, Autoclave, Microscope, Incubator, Vortex Mixer, Membrane Filter) Notice Vers...",FARAM-HANNA-HI98152-001,Hanna Instruments HI98152 pH meter,Hanna Instruments,pending,NO,pH meter,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_212c38f84c5a088e,World Bank,ET-MOH-411996-GO-RFB,"Procurement of Analytical lab. media preparation, heating & shaking plates, incubators, sterilization, vacuum & filtration pump, cold chain, cabinets, fume hood, thermometer, burrete, timer, balance, weighing, facemask tester, tubes, analyzers, centrifuge",,Ethiopia,2025-05-08,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,86.0,NOTICE_TITLE,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00356323,"...old chain, cabinets, fume hood, thermometer, burrete, timer, balance, weighing, facemask tester, tubes, analyzers, centrifuge",FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,NO,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_b73f8873d8f9b9f3,World Bank,ET-MOH-411996-GO-RFB,"Procurement of Analytical lab. media preparation, heating & shaking plates, incubators, sterilization, vacuum & filtration pump, cold chain, cabinets, fume hood, thermometer, burrete, timer, balance, weighing, facemask tester, tubes, analyzers, centrifuge",,Ethiopia,2025-05-08,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,86.0,NOTICE_TITLE,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00356333,"...old chain, cabinets, fume hood, thermometer, burrete, timer, balance, weighing, facemask tester, tubes, analyzers, centrifuge",FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,NO,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_85ab68c645f10324,World Bank,ET-MOH-411996-GO-RFB,"Procurement of Analytical lab. media preparation, heating & shaking plates, incubators, sterilization, vacuum & filtration pump, cold chain, cabinets, fume hood, thermometer, burrete, timer, balance, weighing, facemask tester, tubes, analyzers, centrifuge",,Ethiopia,2025-05-08,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,86.0,NOTICE_TITLE,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00356313,"...old chain, cabinets, fume hood, thermometer, burrete, timer, balance, weighing, facemask tester, tubes, analyzers, centrifuge",FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,NO,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_c8213df24d777d08,World Bank,ET-MOH-411996-GO-RFB,"Procurement of Analytical lab. media preparation, heating & shaking plates, incubators, sterilization, vacuum & filtration pump, cold chain, cabinets, fume hood, thermometer, burrete, timer, balance, weighing, facemask tester, tubes, analyzers, centrifuge",,Ethiopia,2025-05-08,,,Centrifuge,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,86.0,NOTICE_TITLE,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00356324,"...old chain, cabinets, fume hood, thermometer, burrete, timer, balance, weighing, facemask tester, tubes, analyzers, centrifuge",FARAM-THERMO-75003658-001,Thermo Scientific General Purpose Centrifuge,Thermo Scientific,pending,NO,centrifuge,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
proc_c8213df24d777d08,World Bank,ET-MOH-411996-GO-RFB,"Procurement of Analytical lab. media preparation, heating & shaking plates, incubators, sterilization, vacuum & filtration pump, cold chain, cabinets, fume hood, thermometer, burrete, timer, balance, weighing, facemask tester, tubes, analyzers, centrifuge",,Ethiopia,2025-05-08,,,Biological Safety Cabinet,EVIDENCE_BACKED_FAMILY,CONTROLLED_PHRASE_EXACT,85.0,NOTICE_TEXT,https://search.worldbank.org/api/v2/procnotices?format=json&id=OP00356324,...id/Contract Reference No: ET-MOH-411996-GO-RFB Procurement Method: RFB-Request for Bids Scope of Contract: Biological Safety Cabinet and Fume Hood Notice Version No: 2 Date Notification of Award Issued (YYYY/MM/DD) 2024/12/26 Duration of C...,FARAM-THERMO-MSC-001,Thermo Scientific MSC-Advantage Class II biological safety cabinet,Thermo Scientific,pending,NO,biological safety cabinet,,85.0,NOT_ACTIONABLE_INACTIVE_PRINCIPAL,Do not treat as actionable until principal status is confirmed current.
