memory_id,evidence_id,event_date,supplier_company,supplier_email,manufacturer_name,product_family,product_name,model,category,evidence_type,country,customer_or_project,outcome,evidence_strength,representation_signal,source_email_id,notes
FCM-HQE-013,HQE-013,,BLU-MED Response Systems,kwinger@blu-med.com,BLU-MED Response Systems,Isolation / Infection Control,Negative Pressure Isolation System,,Medical Infrastructure,project_inquiry,,,NO_OUTCOME_RECORDED,MEDIUM,MARKET_EXPLORATION,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAARH4AKPAAA,Project support and follow-up evidence
FCM-HQE-014,HQE-014,,faram-ea.com,e.ogeto@faram-ea.com,,Autoclave / Sterilizer,Table Flash Autoclave,,Sterilization,tender_support,,,TENDER_SUPPORT,MEDIUM,ACTIVE_COMMERCIAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAQXHpL9AAA,Direct tender support request
FCM-HQE-015,HQE-015,,HTDS,Joseph.Kimari@Htds.fr,HTDS,Microscope,FT-IR Microscope,FT-IR,Microscopy,quotation_and_compliance,,,QUOTED,LOW,ACTIVE_COMMERCIAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAQsnJZnAAA,Quotation/compliance correspondence for kidney-stones tender
FCM-HQE-016,HQE-016,,Molecular Devices,viktoria.rumjantseva@moldev.com,Molecular Devices,Multimode Microplate Reader,SpectraMax i3x,i3x,Life Science Instrumentation,tender_fit_and_pricing,KE,Kenya laboratory tender,TENDER_SUPPORT,MEDIUM,ACTIVE_COMMERCIAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAQyrTazAADTs0Fiv1O6R4c1xWySpPfBAAQyrkaFAAA,Explicit tender comparison and best-fit discussion; pricing requested through opportunity submission Outlook correspondence records explicit SpectraMax i3x tender-fit comparison and pricing work.
FCM-HQE-017,HQE-017,,Molecular Devices,viktoria.rumjantseva@moldev.com,Molecular Devices,Multimode Microplate Reader,SpectraMax iD5E,iD5E,Life Science Instrumentation,tender_fit_and_pricing,,,TENDER_SUPPORT,MEDIUM,ACTIVE_COMMERCIAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAQyrTazAADTs0Fiv1O6R4c1xWySpPfBAAQyrkaFAAA,Explicit comparison against i3x based on tender criteria
FCM-HQE-018,HQE-018,,Molecular Devices,viktoria.rumjantseva@moldev.com,Molecular Devices,Multimode Microplate Reader,AlphaScreen assay capability,AlphaScreen,i3x/iD5E configuration,tender_fit_and_pricing,,,TENDER_SUPPORT,MEDIUM,ACTIVE_COMMERCIAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAQyrTazAADTs0Fiv1O6R4c1xWySpPfBAAQyrkaFAAA,Email states AlphaScreen plus future imaging upgrade may be important for the National Quality Control Lab
FCM-HQE-019,HQE-019,,Molecular Devices,viktoria.rumjantseva@moldev.com,Agilent / BioTek,Cytation Multimode Reader,Cytation multimode reader,Cytation,Life Science Instrumentation,tender_reference_only,,,NO_OUTCOME_RECORDED,LOW,COMPETITIVE_REFERENCE,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAQyrTazAADTs0Fiv1O6R4c1xWySpPfBAAQyrkaFAAA,Tender was described as being created around Cytation; record is competitive/reference evidence
FCM-HQE-020,HQE-020,,Memmert,mchaieb@memmert.com,Memmert,Laboratory Oven / Incubator,Memmert laboratory ovens,IN75 and related WTB configuration,Laboratory Equipment,quotation,,,QUOTED,MEDIUM,ACTIVE_COMMERCIAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAQARFWMEXAAA,Quote response specified 3x IN75 plus WTB units subject to volume details
FCM-HQE-021,HQE-021,,Silver Lake Research,agruzdev@silverlakeresearch.com,,Sickle Cell Diagnostic Test,HemoTypeSC Test Kits,HemoTypeSC,Diagnostic Consumables,procurement_inquiry,UG,Uganda HemoTypeSC project,INQUIRY,MEDIUM,ACTIVE_COMMERCIAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAPOmni8AAA,Silver Lake correspondence says they can supply HemoTypeSC at scale for Uganda project Outlook correspondence states Silver Lake Research can supply HemoTypeSC at scale for the Uganda project.
FCM-HQE-022,HQE-022,,BioPanda,philip.mckee@biopanda.co.uk,BioPanda,Biological / Laboratory Diagnostics,Lab equipment quotation portfolio,,Laboratory Equipment,quotation_and_partnership,,,QUOTED,MEDIUM,ACTIVE_COMMERCIAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAPWLhWIAAA,Supplier provided pricing and stated quotation covered products being evaluated for Uganda and DRC; individual product lines require follow-up extraction
FCM-HQE-023,HQE-023,,Thermo Fisher Scientific,orders.em@thermofisher.com,Thermo Fisher Scientific,Life Science / Laboratory Equipment,Thermo Fisher scientific equipment and consumables,,Laboratory Equipment,order_and_business_review,,,ORDERED,HIGH,TRANSACTIONAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAAAAAEMAADTs0Fiv1O6R4c1xWySpPfBAAFCFHFCAAA,Historical PO/order correspondence plus business review evidence; detailed product-level extraction still required
FCM-HQE-024,HQE-024,,,,Ansell,Personal Protective Equipment,Ansell protective products,,PPE,partnership_and_tender_support,,,TENDER_SUPPORT,MEDIUM,ACTIVE_COMMERCIAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAQuhswEAAA,Historical interest and tender documentation correspondence; product-level extraction still required
FCM-HQE-025,HQE-025,,YiCare Medical,admin@yicaremedical.com,YiCare Medical,Hematology Analyzer,Hemoglobin Pro Analyzer,Hemoglobin Pro,Lab Diagnostics,quotation,KE,,QUOTED,MEDIUM,ACTIVE_COMMERCIAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpSpPfBAAQrD8wlAAA,Historical quotation explicitly states USD 95 per analyzer set and USD 0.25 per hemoglobin cuvette/test Outlook quotation gives Hemoglobin Pro analyzer at USD 95 per set and hemoglobin cuvette at USD 0.25 per test.
FCM-HQE-026,HQE-026,,Inflammatix,crebelo@inflammatix.com,Inflammatix,Sepsis Diagnostics,Sepsis diagnostic solution,,Molecular / Diagnostic Testing,project_inquiry,KE,Maternal Health Project – Sepsis Diagnostic Solution,TENDER_SUPPORT,MEDIUM,ACTIVE_COMMERCIAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAARFV_EZAADTs0Fiv1O6R4c1xWySpPfBAARFWMGOAAA,2026 commercial follow-up regarding sepsis diagnostic solution for a maternal-health project; exact model/pricing requires follow-up Outlook follow-up concerns a sepsis diagnostic solution for a maternal-health project; exact model and pricing remain to be extracted.
FCM-HQE-027,HQE-027,,Medtecs,jen.lai@medtecs.com,Medtecs,Personal Protective Equipment,PPE Coveralls,,PPE,quotation_inquiry,KE,FHI 360 RFQ,INQUIRY,MEDIUM,ACTIVE_COMMERCIAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAQASntNAADTs0Fiv1O6R4c1xWySpPfBAAQuhme2AAA,Direct response to FHI 360 RFQ; Medtecs reviewed large quantities and confirmed factory stock/delivery feasibility before quotation Outlook response from Medtecs addresses an FHI 360 RFQ and large-quantity PPE coverall supply feasibility.
FCM-HQE-028,HQE-028,2026-07-03,Honod Medical,sales1@honodmedical.com,Honod Medical,Diagnostic Consumables,Disposable Graduated Transfer Pipettes,,Diagnostic Consumables,quotation_inquiry,KE,,INQUIRY,MEDIUM,ACTIVE_COMMERCIAL,AAMkAGYwMDJjZDJmLTRiZGMtNDFiYy05ZTRkLWFmZmExZTZlMTg5MgBGAAAAAAAkNPbZeC10RJ1zTZc0fYLuBwDTs0Fiv1O6R4c1xWySpPfBAAQyrTazAADTs0Fiv1O6R4c1xWySpPfBAAQyrkZtAAA,Direct RFQ for approximately 250uL disposable transfer pipettes with requested bulk pricing Outlook supplier response requests a product photo for bulk non-sterile disposable graduated transfer pipettes at approximately 250 microlitres.
