procurement_line_item_id,procurement_process_id,procurement_release_id,procurement_event_id,source,tender_reference,title,buyer,country,publication_date,closing_date,matched_iati_identifier,procurement_category,line_item_description,product_family,equipment_entity_id,manufacturer_names,manufacturer_entity_ids,manufacturer_match_method,manufacturer_match_confidence,product_evidence,model_evidence,product_name_evidence,manufacturer_evidence,match_confidence,match_status,match_evidence,recommended_action
proc_item_f546a37425a135bcb25c,proc_process_bb441ff63a0c65b5f028,proc_release_a8d2f93f96c38c8195fc,proc_d9eff89b33c10cf3,AfDB,,SPN - Mozambique - Construction of Water Supply Systems Infrastructures under Negomano Roma Section - Mueda – Negomano Road Project Phase I,African Development Bank,,,,,,SPN - Mozambique - Construction of Water Supply Systems Infrastructures under Negomano Roma Section - Mueda – Negomano Road Project Phase I,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_c2b12a950557d3204d58,proc_process_45e37abd93f74013b6c1,proc_release_1c47d962a0fa881345c3,proc_2e8f3430f841fe82,AfDB,,SPN - Ethiopia - Consultancy Services to enhance staff technical capability in developing export and import volume & price indices - ISP-SMM,African Development Bank,,,,,,SPN - Ethiopia - Consultancy Services to enhance staff technical capability in developing export and import volume & price indices - ISP-SMM,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_003621dfc83335497190,proc_process_9b188e32fc3969e66bc6,proc_release_1d405e14c2b1defcdb8f,proc_164838d7d45212d3,AfDB,,SPN - Ethiopia - Consultancy Services for the Environmental and Social Impact Assessment (ESIA) for the CIF NPC-BREFOL Project,African Development Bank,,,,,,SPN - Ethiopia - Consultancy Services for the Environmental and Social Impact Assessment (ESIA) for the CIF NPC-BREFOL Project,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_b12232369744006b6a0c,proc_process_3985e59d442290fe794a,proc_release_80bac75f91c4efdd37fc,proc_ccbbdb8055c42c05,AfDB,,SPN - Namibia - Works Package 3 (PW3)-Permanent Way (Railway Construction) Works for the upgrade of the railway line between Kranzberg and Otjiwarongo - Transport Infrastructure Improvement Project Phase II,African Development Bank,,,,,,SPN - Namibia - Works Package 3 (PW3)-Permanent Way (Railway Construction) Works for the upgrade of the railway line between Kranzberg and Otjiwarongo - Transport Infrastructure Improvement Project Phase II,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_c6c2bf658ec42bc3925f,proc_process_49e9606baca8f4d84302,proc_release_65bb9b6bc7339eeff1c3,proc_98a0bf41f292a603,AfDB,,"SPN - Mozambique - Procurement of Construction and Equipping of Health Centres in Ngapa and Nandimba Communities, Including the Supply of Ambulances - SADC Sub Regional Transport and Trade Facilitation Project",African Development Bank,,,,,,"SPN - Mozambique - Procurement of Construction and Equipping of Health Centres in Ngapa and Nandimba Communities, Including the Supply of Ambulances - SADC Sub Regional Transport and Trade Facilitation Project",,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_f8adc712e21a77974d2f,proc_process_63db7fdb8b13b28d9414,proc_release_1331c8cad1f5d69d1f65,proc_9d44ed9122a046ad,AfDB,,SPN - Uganda - Consultancy Services for Maritime Advisory and Capacity Development Training,African Development Bank,,,,,,SPN - Uganda - Consultancy Services for Maritime Advisory and Capacity Development Training,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_9262f7ade7ccdc847ab1,proc_process_f5faf4582693a8044e04,proc_release_320d8bccb7fe8421dac2,proc_aa78c25ee483b6f5,AfDB,,"SPN - Mozambique - Design, Supply and Installation of the Namaacha–Boane 66 kV Transmission Line and Associated Substations infrastructure - Namaacha - Boane Transmission Line and Associated Infrastructure Project",African Development Bank,,,,,,"SPN - Mozambique - Design, Supply and Installation of the Namaacha–Boane 66 kV Transmission Line and Associated Substations infrastructure - Namaacha - Boane Transmission Line and Associated Infrastructure Project",,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_39c0e59a0f5388cbf39c,proc_process_5a046f93a02a15267339,proc_release_fd40336f43f6702772f9,proc_f6477ae71c5693b5,AfDB,,"SPN - Mozambique - Supply of inputs for 18,350 smallholder producers through voucher - PROCAVA project",African Development Bank,,,,,,"SPN - Mozambique - Supply of inputs for 18,350 smallholder producers through voucher - PROCAVA project",,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_f0d7644dcdc7c23edf76,proc_process_c5d19e41514bc76fa1dc,proc_release_558bfc2a09c31599b940,proc_138491e17dee1e48,AfDB,,"SPN - Zimbabwe - Supply, Delivery and Installation of Data Loggers, Sensors and Various ICT Equipment - Mitigating Fragility through the Africa Disaster Risk Financing Programme in Southern Africa",African Development Bank,,,,,,"SPN - Zimbabwe - Supply, Delivery and Installation of Data Loggers, Sensors and Various ICT Equipment - Mitigating Fragility through the Africa Disaster Risk Financing Programme in Southern Africa",,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_cb5fe5084a4c91e01e54,proc_process_0ca4c4973f6ab8cc960d,proc_release_bd62f3854830b1b28ec4,proc_3004cfcca25409e0,AfDB,,Consultants Vacancies,African Development Bank,,,,,,Consultants Vacancies,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_a7564b37eb7cf2de335f,proc_process_965219ec16dbb86cb5e0,proc_release_c3feac61d9595fef136c,proc_c2cba58600afe683,AfDB,,Projects Procurement,African Development Bank,,,,,,Projects Procurement,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_a342f8ca93cfa6f68f92,proc_process_bb560e626aacb7efd6bb,proc_release_e13983b8628f33b77255,proc_e19b2d3c508028c0,AfDB,,Specific Procurement Notices,African Development Bank,,,,,,Specific Procurement Notices,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_0a2ab4c8221a55573bb5,proc_process_c810f010359b1fc60775,proc_release_11dc428b470aed982c46,proc_9645986e04592f81,AfDB,,EOI - Somalia - Individual Consultancy Services for a Macroeconomic Expert for the Central Bank of Somalia (CBS) - FSDP,African Development Bank,,,,,,EOI - Somalia - Individual Consultancy Services for a Macroeconomic Expert for the Central Bank of Somalia (CBS) - FSDP,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_0c2b68753462bbd7af87,proc_process_945ee3f58120815249d3,proc_release_46890c5ba7e2ca8bc7e7,proc_a77c92c1514c017a,AfDB,,Attribution de contrat - Cameroun - Recrutement d’un consultant pour l'élaboration du plan directeur national de digitalisation du système d’information des marches publics - PAGFIP,African Development Bank,,,,,,Attribution de contrat - Cameroun - Recrutement d’un consultant pour l'élaboration du plan directeur national de digitalisation du système d’information des marches publics - PAGFIP,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_fb3b9c86621b1403eaf0,proc_process_29da0afa1bf52b932c2a,proc_release_c1574675fb7cb74f4664,proc_f510d899812ef208,AfDB,,EOI - Multinational - Consulting Firm to Develop a Digital system for monitoring and tracing of registered pharma-ceutical products in West Africa - Project for the Development of the Pharmaceutical Industry in the ECOWAS Region,African Development Bank,,,,,,EOI - Multinational - Consulting Firm to Develop a Digital system for monitoring and tracing of registered pharma-ceutical products in West Africa - Project for the Development of the Pharmaceutical Industry in the ECOWAS Region,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_9eaf9b08f3ecee48ad1e,proc_process_9a13e4a9f022b0b4a7fa,proc_release_1247b90d1507dbf4d3e9,proc_305a5d1f7b11dc2a,AfDB,,"SPN - Ethiopia - Web Water Supply Route: Civil Works Construction with installation pipe and fittings, Supply pipe and Fittings and Supply and installation Electromechanical equipment for Web Water Supply Route from WER_1447 (Dembala Imu)",African Development Bank,,,,,,"SPN - Ethiopia - Web Water Supply Route: Civil Works Construction with installation pipe and fittings, Supply pipe and Fittings and Supply and installation Electromechanical equipment for Web Water Supply Route from WER_1447 (Dembala Imu)",,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_954d1b2d7f86978d50d8,proc_process_8528630800f7f4196f99,proc_release_f8fa53d879866178ce22,proc_430761442bf30074,AfDB,,"SPN - Ethiopia - Web Water Supply Route: Civil Works Construction with Installation of pipe and fittings, Supply of Pipe and Fittings for Web Water Supply Route, from Dofi Village Junction up to WER_1447 (Dembala Imu)",African Development Bank,,,,,,"SPN - Ethiopia - Web Water Supply Route: Civil Works Construction with Installation of pipe and fittings, Supply of Pipe and Fittings for Web Water Supply Route, from Dofi Village Junction up to WER_1447 (Dembala Imu)",,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_ec651058a66bf2ec6241,proc_process_437d4d96c8fbd4f875e2,proc_release_05c77cc6df9f276b1238,proc_35d272e7c2ae6d08,AfDB,,"EOI - Multinational - Consultancy Firm to Carry Out the Design, Development, and Pilot Validation of the TRUST SDK - IDECT",African Development Bank,,,,,,"EOI - Multinational - Consultancy Firm to Carry Out the Design, Development, and Pilot Validation of the TRUST SDK - IDECT",,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_ec55331eab8be27b4fc8,proc_process_6f97b9ffc1ff48684edd,proc_release_d45e61da5d1d70939dcf,proc_cdfc1acd24d2ea77,AfDB,,EOI - Multinational - Consultant to Develop and Validate an Action Plan for Mainstreaming Gender into Natural Resource Management and a Guide to Gender-Responsive Budgeting in the Water Sector in the Lake Chad Basin - PARFEBALT,African Development Bank,,,,,,EOI - Multinational - Consultant to Develop and Validate an Action Plan for Mainstreaming Gender into Natural Resource Management and a Guide to Gender-Responsive Budgeting in the Water Sector in the Lake Chad Basin - PARFEBALT,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_a0df583f75e6a5b55d6f,proc_process_ae61506f7c0d3c323d51,proc_release_93db8db0ab2f1d890dff,proc_2b7d525c9402176f,AfDB,,SPN - Ethiopia - Procurement of Furniture for 100 Job Centers - AMD4J Project,African Development Bank,,,,,,SPN - Ethiopia - Procurement of Furniture for 100 Job Centers - AMD4J Project,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_475e7076313eefb12c18,proc_process_8a0f380bdc552455c0c5,proc_release_e617120290482d99e9ca,proc_fdadfc722756513d,AfDB,,SPN - Ethiopia - Procurement of IT and furniture for 100 job centers - AMD4J Project,African Development Bank,,,,,,SPN - Ethiopia - Procurement of IT and furniture for 100 job centers - AMD4J Project,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_b494208ec493517b1d4b,proc_process_49d2407cf5e09f4d18a7,proc_release_9d67efd2f514f6ca0b72,proc_a8ec9d2531b6a4e7,AfDB,,"Contract Awards - Multinational - Landscape financing, resource mobilization and capacity building consultancy services - PIDACC",African Development Bank,,,,,,"Contract Awards - Multinational - Landscape financing, resource mobilization and capacity building consultancy services - PIDACC",,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_f56343d68c65575b0425,proc_process_1b1cf4106d8736eec478,proc_release_818f2e8190dad52adeda,proc_9962404cbef0f0b9,AfDB,,EOI - Eswatini - Consultancy Services for Capacity Building of the Government Internal Audit Office and the Office of the Auditor General on Infrastructure Projects Auditing - ERIIP,African Development Bank,,,,,,EOI - Eswatini - Consultancy Services for Capacity Building of the Government Internal Audit Office and the Office of the Auditor General on Infrastructure Projects Auditing - ERIIP,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_cf64093180f69402878c,proc_process_6dda9c080c473b6992be,proc_release_15f356991d0e06d46170,proc_c853845298525386,AfDB,,EOI - Eswatini - Consultancy Services of Social Inclusive Infrastructure Soft Services - ERIIP,African Development Bank,,,,,,EOI - Eswatini - Consultancy Services of Social Inclusive Infrastructure Soft Services - ERIIP,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_2d70d39911b313f9ab51,proc_process_8eb0f152450f62d9e571,proc_release_af8dcd75e20acd1d4296,proc_965ec9fc10c21fde,AfDB,,EOI - Angola - Consultancy service of Mid Term Review (CO21-CTSIP1/26) - CTIS,African Development Bank,,,,,,EOI - Angola - Consultancy service of Mid Term Review (CO21-CTSIP1/26) - CTIS,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_9ed3366f3931d75748ff,proc_process_1f8bfe7a6924879056de,proc_release_d94222401ec007285775,proc_65cde8dbc8ba88e8,AfDB,,"AMI - RCA - Consultant individuel pour l’actualisation du manuel des procédures administratives, comptables et financières du Projet CD13",African Development Bank,,,,,,"AMI - RCA - Consultant individuel pour l’actualisation du manuel des procédures administratives, comptables et financières du Projet CD13",,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_0f64fb09ba0e3c51d61c,proc_process_39efe4b047e5da88aaaa,proc_release_682d0b74649a6dd97603,proc_774bacd31ec8a00f,AfDB,,AMI - Burundi - Recrutement d’un Consultant en vue de l’élaboration du Rapport d’achèvement du PA-EANSI,African Development Bank,,,,,,AMI - Burundi - Recrutement d’un Consultant en vue de l’élaboration du Rapport d’achèvement du PA-EANSI,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_093e509581f1a2f0fbb5,proc_process_e9a626e504cd489b1f9d,proc_release_185c8c50194d613e8812,proc_0f0101b13701459b,AfDB,,Contract Awards - Zimbabwe - Consultancy Services to Develop a Gender and Disaster Risk Management Strategy and Implementation - ADRIFI,African Development Bank,,,,,,Contract Awards - Zimbabwe - Consultancy Services to Develop a Gender and Disaster Risk Management Strategy and Implementation - ADRIFI,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_36b56c834118f0dc61f4,proc_process_7f193a5c20fe9acf356d,proc_release_45280afe6eef9843ae12,proc_1d8bbb4f3eaecf83,AfDB,,IFB - Rwanda - Construction of Faecal Sludge Treatment Plant and Landfill for Rubavu Town (Re-tendering) - RSWSSP,African Development Bank,,,,,,IFB - Rwanda - Construction of Faecal Sludge Treatment Plant and Landfill for Rubavu Town (Re-tendering) - RSWSSP,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_2db1d2eda3d06a3f9d60,proc_process_5291fdf2dec93fc00599,proc_release_ff0bb1d2b56bf80e3188,proc_d2a4dbf9043f064a,UNDP,UNDP-BTN-00155,"Assessment of Cleaner Technologies, Technology Transformative Pathways",United Nations Development Programme,BHUTAN,2026-09-12,2026-09-27,,,"Assessment of Cleaner Technologies, Technology Transformative Pathways",,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_796a821f2d684bf9a8da,proc_process_4665d14977feb1fb0f47,proc_release_fbab2d37978b94cb6335,proc_8ac3b317f02e9166,UNDP,UNDP-ZAF-00240,IC Designer for the Biodiversity Finance Plan Report,United Nations Development Programme,SOUTH AFRICA,2026-09-11,2026-09-25,,,IC Designer for the Biodiversity Finance Plan Report,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_fb7ce64841867c8c7870,proc_process_2532045640710b808a6a,proc_release_5eef6092f132c62a26f9,proc_186f3348b4457b04,UNDP,UNDP-BIH-01650,JP DRR-Disaster Risk Assessment Policy Expert,United Nations Development Programme,BOSNIA AND HERZEGOVINA,2026-09-11,2026-09-25,,,JP DRR-Disaster Risk Assessment Policy Expert,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_415609276facd5b35355,proc_process_455af9365ab53f34b443,proc_release_4beefd915d47972b9d31,proc_a70b4b928aae2213,UNDP,UNDP-LKA-00734,IC/JURE/2609/47- To Develop Guidelines on Legislative Development,United Nations Development Programme,SRI LANKA,2026-09-11,2026-09-25,,,IC/JURE/2609/47- To Develop Guidelines on Legislative Development,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_2ca016f7db4eb0c43b15,proc_process_b38398eb5775ee708988,proc_release_08c9839b6713a74ae070,proc_e51e85f8629a2910,UNDP,UNDP-IND-00832,RFP-091-IND-2026-Assessment of Downstream Mercury Pathways,United Nations Development Programme,INDIA,2026-09-11,2026-09-25,,,RFP-091-IND-2026-Assessment of Downstream Mercury Pathways,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_4f2d8ba41183f356ad79,proc_process_0c0e784b8145c7b42e8b,proc_release_baaa6bae6d5851209273,proc_2e604b254efbb998,UNDP,UNDP-PHL-01028,"Supply and Delivery of Gasoline Motorcycles, Cargo Tricycles, and Electric Cargo",United Nations Development Programme,PHILIPPINES,2026-09-11,2026-10-09,,,"Supply and Delivery of Gasoline Motorcycles, Cargo Tricycles, and Electric Cargo",,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_eff876493d0645c6fac7,proc_process_3d40abb8711f96fbc775,proc_release_1f3e420ff28e09110ca9,proc_48253052d65e2ec3,UNDP,UNDP-KHM-00241,National Consultant for Provincial GBSP Implementation and Monitoring,United Nations Development Programme,CAMBODIA,2026-09-11,2026-09-25,,,National Consultant for Provincial GBSP Implementation and Monitoring,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_1bb7c1ec94391d6c6b87,proc_process_e9fd11e610f4146c63c0,proc_release_358189bbd9c8706960c7,proc_421cf1922595f3a9,UNDP,UNDP-FJI-00819,Supply and Installation of Access Control System for UNDP Pacific Office in Fiji,United Nations Development Programme,FIJI,2026-09-11,2026-09-25,,,Supply and Installation of Access Control System for UNDP Pacific Office in Fiji,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_599c0b2d023957a79046,proc_process_d1a93d7b7f01692beece,proc_release_361169e054e20f93419f,proc_f8fd9fa6dc1852e5,UNDP,UNDP-TZA-00434,NationaI IC - Project Coordination & Stakeholder Engagement Consultant – MRV4,United Nations Development Programme,TANZANIA,2026-09-11,2026-09-25,,,NationaI IC - Project Coordination & Stakeholder Engagement Consultant – MRV4,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_97401cccfd2b9a342f8f,proc_process_9cf8b031157908057bd9,proc_release_aed0a703d7ace2b13f3f,proc_8a8329b3c9174701,UNDP,UNDP-UZB-01993,Supply and Installation of Automated Canal Irrigation Monitoring and Control Sys,United Nations Development Programme,UZBEKISTAN,2026-09-11,2026-09-25,,,Supply and Installation of Automated Canal Irrigation Monitoring and Control Sys,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_1b16f68ea3ca13f50f98,proc_process_d1c0a8f20d42fb265add,proc_release_6a686535f4ecd2355a3d,proc_af79370e06b0af47,UNDP,UNDP-NPL-00720,UNDP/RFQ/2026/40-GCRU-Equipment and Tools for GVZ,United Nations Development Programme,NEPAL,2026-09-11,2026-09-24,,,UNDP/RFQ/2026/40-GCRU-Equipment and Tools for GVZ,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_109d1239d3e60f26278f,proc_process_a9484197ccd4c8d8e6ab,proc_release_b6a05159c0f160e49cc7,proc_b516de0d6276873b,UNDP,UNDP-LBN-01634,LBN-CO-IC-193-26 Senior Renewable Energy and Energy Efficiency Engineer,United Nations Development Programme,LEBANON,2026-09-11,2026-09-25,,,LBN-CO-IC-193-26 Senior Renewable Energy and Energy Efficiency Engineer,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_195eb519be03af440f29,proc_process_d81e671d2234fb80e948,proc_release_5e085cfe3d6d39b530a6,proc_df8072a46415ad5f,UNDP,UNDP-NGA-01505,Consultancy Firm to Provide Event Management and Coordination Services,United Nations Development Programme,NIGERIA,2026-09-11,2026-09-17,,,Consultancy Firm to Provide Event Management and Coordination Services,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_f07df1f70995b8739357,proc_process_31cac658af5859a64ce2,proc_release_55ee8f16931c79741d6d,proc_9b22d945e1096d45,UNDP,UNDP-BIH-01649,GEA-Consultant for Evaluation of FBiH Development Strategy,United Nations Development Programme,BOSNIA AND HERZEGOVINA,2026-09-11,2026-09-24,,,GEA-Consultant for Evaluation of FBiH Development Strategy,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_a38a9cd6d39824bce957,proc_process_c8b248818384807561dd,proc_release_e5ad659365acd7ac4d38,proc_ab3588706c7283be,UNDP,UNDP-CYP-00245,Conservation Works at Agios Andronicos church,United Nations Development Programme,CYPRUS,2026-09-11,2026-10-08,,,Conservation Works at Agios Andronicos church,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
proc_item_55e85be13f5f50d208db,proc_process_508771765af8e07490a6,proc_release_76b793329aa6f3f4055c,proc_4fbedb6f99dfe68d,UNDP,UNDP-VNM-02349,RfQ for finalization of the NIC's interior renovation and furniture installation,United Nations Development Programme,VIET NAM,2026-09-11,2026-09-28,,,RfQ for finalization of the NIC's interior renovation and furniture installation,,,,,,0.0,,,,,0.0,UNMATCHED,,Retain as unclassified procurement demand; improve notice specification evidence.
