manufacturer_intelligence_id,manufacturer_entity_id,manufacturer_name,manufacturer_aliases,coverage_status,commercial_priority,commercial_score,catalogue_product_count,active_product_count,pending_product_count,historical_product_count,historical_quote_count,procurement_award_count,explicit_demand_count,aligned_market_demand_count,actionable_match_count,technical_pass_count,technical_review_count,technical_fail_count,technical_unknown_count,product_families,equipment_categories,product_names,models,principal_statuses,territories,country_codes,top_countries,buyers,suppliers,latest_evidence_date,evidence_sources,recommended_action,source_layer
manufacturer_intel_b70f4aeab41d,mfr_054e822ba7bb,WTW,WTW,PRINCIPAL_VALIDATION_REQUIRED,Monitor,10,2,0,2,0,0,0,0,1,0,0,0,0,1,Thermoreactor; UV-VIS Spectrophotometer,Laboratory Systems,WTW photoLab 7600 UV-VIS Spectrophotometer; WTW Thermoreactor CR 3200,CR 3200; photoLab 7600 UV-VIS,pending,Kenya,KE,KE,,,,Controlled Faram catalogue; External procurement family demand; Tender product matching; Tender technical fit,Confirm current principal authorization and territory for the controlled catalogue products.,predictive_product
manufacturer_intel_4e67914ac723,mfr_09cdd94461e2,Abbott,Abbott,MARKET_EVIDENCE_ONLY,Monitor,10,0,0,0,0,0,0,4,0,0,0,0,0,0,,,,,,,KE; UG,Kenya; Uganda,,,,Explicit procurement notice mention,Assess manufacturer fit and route-to-market without assuming Faram representation.,predictive_product
manufacturer_intel_aa6071d75f7d,mfr_5f29c28d0eca,Roche,Roche,MARKET_EVIDENCE_ONLY,Monitor,10,0,0,0,0,0,0,4,0,0,0,0,0,0,,,,,,,KE; UG,Kenya; Uganda,,,,Explicit procurement notice mention,Assess manufacturer fit and route-to-market without assuming Faram representation.,predictive_product
manufacturer_intel_d5d06a7f0377,mfr_5f08c218d24f,Euromex,Euromex,PRINCIPAL_VALIDATION_REQUIRED,Monitor,8,2,0,2,0,0,0,0,0,0,0,0,0,0,Compound Microscope; Stereo Microscope,Laboratory Systems,Euromex BB.1152-PLi compound microscope; Euromex Stereo Microscope SB.1902,BB.1152-PLi; SB.1902,pending,Kenya,KE,KE,,,,Controlled Faram catalogue,Confirm current principal authorization and territory for the controlled catalogue products.,predictive_product
manufacturer_intel_4e65423c5f86,mfr_5928feedefb4,Interscience,Interscience,PRINCIPAL_VALIDATION_REQUIRED,Monitor,6,1,0,1,0,0,0,0,1,0,0,0,0,1,Colony Counter,Laboratory Systems,Scan 300 automatic colony counter,Scan 300,pending,Kenya,KE,KE,,,,Controlled Faram catalogue; External procurement family demand; Tender product matching; Tender technical fit,Confirm current principal authorization and territory for the controlled catalogue products.,predictive_product
manufacturer_intel_96c8e0d7b30a,mfr_06de2070438b,Adam Equipment,Adam Equipment,PRINCIPAL_VALIDATION_REQUIRED,Monitor,4,1,0,1,0,0,0,0,0,0,0,0,0,0,Top Loading Balance,Laboratory Systems,Adam Equipment LBA 1001e balance,LBA1001e,pending,Kenya,KE,KE,,,,Controlled Faram catalogue,Confirm current principal authorization and territory for the controlled catalogue products.,predictive_product
manufacturer_intel_d68fa702e3d3,mfr_260929b5e530,Hawach,Hawach,PRINCIPAL_VALIDATION_REQUIRED,Monitor,4,1,0,1,0,0,0,0,0,0,0,0,0,0,Membrane Filtration System,Laboratory Systems,Hawach vacuum filtration system,,pending,Kenya,KE,KE,,,,Controlled Faram catalogue,Confirm current principal authorization and territory for the controlled catalogue products.,predictive_product
manufacturer_intel_c176952747e1,mfr_235f11717047,Silver Lake Research,Silver Lake Research,PRINCIPAL_VALIDATION_REQUIRED,Monitor,4,1,0,1,0,0,0,0,0,0,0,0,0,0,Sickle Cell Rapid Diagnostic Test,Diagnostic Equipment,HemoTypeSC rapid sickle cell test kit,HemoTypeSC,pending,"Kenya,Uganda,DRC",CD; KE; UG,CD; KE; UG,,,,Controlled Faram catalogue,Confirm current principal authorization and territory for the controlled catalogue products.,predictive_product
manufacturer_intel_d620009e8aff,mfr_a8cbef2c9230,Traceable,Traceable,PRINCIPAL_VALIDATION_REQUIRED,Monitor,4,1,0,1,0,0,0,0,0,0,0,0,0,0,Digital Probe Thermometer,Medical Devices & Equipment,Traceable digital probe thermometer,,pending,Kenya,KE,KE,,,,Controlled Faram catalogue,Confirm current principal authorization and territory for the controlled catalogue products.,predictive_product
manufacturer_intel_ba859fce6485,mfr_de8f99a0b2cf,3DHISTECH,3DHISTECH,HISTORICAL_EVIDENCE_ONLY,Monitor,4,0,0,0,1,1,0,0,0,0,0,0,0,0,Digital Pathology,Diagnostic Equipment,Digital Pathology & Cytology Equipment,,,,,,,,,Historical quotation evidence,Validate the current relationship and territory before promoting historical products into the controlled catalogue.,predictive_product
manufacturer_intel_5bf1638339ed,mfr_af3df5f6872b,Agilent / BioTek,Agilent / BioTek,HISTORICAL_EVIDENCE_ONLY,Monitor,4,0,0,0,1,1,0,0,0,0,0,0,0,0,Cytation Multimode Reader,Medical Devices & Equipment,Cytation multimode reader,Cytation,,,,,,,,Historical quotation evidence,Validate the current relationship and territory before promoting historical products into the controlled catalogue.,predictive_product
manufacturer_intel_5ee817b612d0,mfr_984355385c63,Ansell,Ansell,HISTORICAL_EVIDENCE_ONLY,Monitor,4,0,0,0,1,1,0,0,0,0,0,0,0,0,Personal Protective Equipment,PPE,Ansell protective products,,,,,,,,,Historical quotation evidence,Validate the current relationship and territory before promoting historical products into the controlled catalogue.,predictive_product
manufacturer_intel_91d13e156d7e,mfr_974a6b13e955,BLU-MED Response Systems,BLU-MED Response Systems,HISTORICAL_EVIDENCE_ONLY,Monitor,4,0,0,0,1,1,0,0,0,0,0,0,0,0,Isolation / Infection Control,Medical Devices & Equipment,Negative Pressure Isolation System,,,,,,,,,Historical quotation evidence,Validate the current relationship and territory before promoting historical products into the controlled catalogue.,predictive_product
manufacturer_intel_9979e9be4a2e,mfr_0f178d97ea46,BioPanda,BioPanda,HISTORICAL_EVIDENCE_ONLY,Monitor,4,0,0,0,1,1,0,0,0,0,0,0,0,0,Biological / Laboratory Diagnostics,Diagnostic Equipment,Lab equipment quotation portfolio,,,,,,,,,Historical quotation evidence,Validate the current relationship and territory before promoting historical products into the controlled catalogue.,predictive_product
manufacturer_intel_1db2c00a6a0b,mfr_d0c516b76b69,ESCHWEILER,ESCHWEILER,HISTORICAL_EVIDENCE_ONLY,Monitor,4,0,0,0,1,1,0,0,0,0,0,0,0,0,Analyzer,Diagnostic Equipment,ESCHWEILER Combi Line 2 Analyzer,Combi Line 2 Analyzer,,,,,,,,Historical quotation evidence,Validate the current relationship and territory before promoting historical products into the controlled catalogue.,predictive_product
manufacturer_intel_11a0b76ec881,mfr_74ee2b04cf70,HealthSky,HealthSky,HISTORICAL_EVIDENCE_ONLY,Monitor,4,0,0,0,1,1,0,0,0,0,0,0,0,0,Cytology,Diagnostic Equipment,Automated Liquid-Based Cytology System,HealthSky SCT Express 3600A,,,,,,,,Historical quotation evidence,Validate the current relationship and territory before promoting historical products into the controlled catalogue.,predictive_product
manufacturer_intel_0731164b7740,mfr_de672dcd0d59,Honod Medical,Honod Medical,HISTORICAL_EVIDENCE_ONLY,Monitor,4,0,0,0,1,1,0,0,0,0,0,0,0,0,Diagnostic Consumables,Diagnostic Equipment,Disposable Graduated Transfer Pipettes,,,,,,,,,Historical quotation evidence,Validate the current relationship and territory before promoting historical products into the controlled catalogue.,predictive_product
manufacturer_intel_dca4649d8656,mfr_087d21a9edb5,Inflammatix,Inflammatix,HISTORICAL_EVIDENCE_ONLY,Monitor,4,0,0,0,1,1,0,0,0,0,0,0,0,0,Sepsis Diagnostics,Diagnostic Equipment,Sepsis diagnostic solution,,,,,,,,,Historical quotation evidence,Validate the current relationship and territory before promoting historical products into the controlled catalogue.,predictive_product
manufacturer_intel_e95feb59c9ad,mfr_34b34bc62433,MF Lab,MF Lab,HISTORICAL_EVIDENCE_ONLY,Monitor,4,0,0,0,1,1,0,0,0,0,0,0,0,0,Diagnostic Consumables,Diagnostic Equipment,Flip-Top Sample Vials,,,,,,,,,Historical quotation evidence,Validate the current relationship and territory before promoting historical products into the controlled catalogue.,predictive_product
manufacturer_intel_7727bdcab05a,mfr_196d39cf6f98,Medtecs,Medtecs,HISTORICAL_EVIDENCE_ONLY,Monitor,4,0,0,0,1,1,0,0,0,0,0,0,0,0,Personal Protective Equipment,PPE,PPE Coveralls,,,,,,,,,Historical quotation evidence,Validate the current relationship and territory before promoting historical products into the controlled catalogue.,predictive_product
manufacturer_intel_a8df18aedc19,mfr_870418901632,Recare,Recare,HISTORICAL_EVIDENCE_ONLY,Monitor,4,0,0,0,1,1,0,0,0,0,0,0,0,0,Diagnostic Manufacturing Equipment,Diagnostic Equipment,ZQ800 Rapid Test Strip Cutter,ZQ800,,,,,,,,Historical quotation evidence,Validate the current relationship and territory before promoting historical products into the controlled catalogue.,predictive_product
manufacturer_intel_89147d6c305d,mfr_46207ed17303,Shengfeng Pack,Shengfeng Pack,HISTORICAL_EVIDENCE_ONLY,Monitor,4,0,0,0,1,1,0,0,0,0,0,0,0,0,Diagnostic Consumables,Diagnostic Equipment,Flip-Top Sample Vials,,,,,,,,,Historical quotation evidence,Validate the current relationship and territory before promoting historical products into the controlled catalogue.,predictive_product
manufacturer_intel_3c6821288e19,mfr_96fd9826fb4d,Fujifilm,Fujifilm,MARKET_EVIDENCE_ONLY,Monitor,3,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,VIET NAM,,,,Explicit procurement notice mention,Assess manufacturer fit and route-to-market without assuming Faram representation.,predictive_product
manufacturer_intel_8b9833e8e7d7,mfr_86b31854a74a,Mindray,Mindray,MARKET_EVIDENCE_ONLY,Monitor,3,0,0,0,0,0,0,1,0,0,0,0,0,0,,Laboratory Equipment,,,,,KE,Kenya,,,,Explicit procurement notice mention,Assess manufacturer fit and route-to-market without assuming Faram representation.,predictive_product
manufacturer_intel_50a9b875eddc,mfr_85a5a03ad99f,Philips,Philips,REVIEW_REQUIRED,Monitor,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,ET,ET,,,,IATI activity text mention,"Collect stronger manufacturer, product, and commercial evidence.",predictive_product
